name,Mentioned,Not mentioned,"HT: Dropped out survey,SG: Missing,DE: Inapplicable,RU: Inappropriate response",Not asked
Algeria,46,2,53,8,0,0
Armenia,76,9,23,1,0,0
Chile,17,9,82,1,0,0
Germany,24,75,9,0,1,0
Ghana,40,2,59,8,0,0
Hong Kong,44,8,55,2,0,0
India,61,5,38,5,0,0
Iraq,80,2,19,8,0,0
Japan,0,0,0,100
South Korea,88,5,11,5,0,0
Morocco,47,1,52,9,0,0
Nigeria,46,5,53,5,0,0
Russia,54,3,45,6,0,1,0
Zimbabwe,4,9,95,1,0,0
Spain,12,3,87,7,0,0
Sweden,6,4,93,6,0,0
United States,13,4,86,6,0,0
